Game,Year,Genre,Publisher,North_America_Sales_M$,Europe_Sales_M$,Japan_Sales_M$,Other_Sales_M$,Global_Sales_M$
Grand Theft Auto V,2016,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
Call of Duty: Black Ops 3,2017,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
Red Dead Redemption 2,2020,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
Call of Duty: WWII,2019,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
FIFA 18,2019,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
FIFA 17,2018,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
Uncharted (PS4),2018,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
Spider-Man (PS4),2020,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
Call of Duty: Infinite Warfare,2018,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
Fallout 4,2017,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
FIFA 16,2017,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
Star Wars Battlefront 2017,2017,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
Call of Duty: Advanced Warfare,2016,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
Battlefield 1,2018,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
The Last of Us,2016,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
MineCraft,2016,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
FIFA 15,2016,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
God of War (PS4),2020,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
Horizon: Zero Dawn,2019,Action,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82
Destiny,2016,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
Uncharted: The Nathan Drake Collection,2017,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7
The Witcher 3: Wild Hunt,2017,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39
Final Fantasy XV,2018,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
Crash Bandicoot N. Sane Trilogy,2019,Platform,Activision,1.09,2.92,0.07,0.74,4.83
Monster Hunter: World,2020,Action,Capcom,1.03,1.06,2.17,0.42,4.67
Overwatch,2018,Shooter,Blizzard Entertainment,1.84,1.8,0.17,0.73,4.54
Star Wars Battlefront II (2019),2019,Shooter,Electronic Arts,1.7,1.99,0.12,0.73,4.53
Tom Clancy's The Division,2018,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37
Tom Clancy's Rainbow Six: Siege,2017,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36
Watch Dogs,2016,Action-Adventure,Ubisoft,1.4,2.13,0.11,0.68,4.32
Call of Duty: Ghosts,2015,Shooter,Activision,1.79,1.64,0.05,0.69,4.17
Assassin's Creed: Unity,2016,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14
Destiny 2,2019,Shooter,Activision,1.92,1.44,0.1,0.69,4.14
Batman: Arkham Knight,2017,Action,Warner Bros. Interactive,1.65,1.68,0.11,0.66,4.11
Assassin's Creed Origins,2019,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06
Far Cry 4,2016,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06
NBA 2K16,2017,Sports,2K Sports,2.56,0.66,0.05,0.71,3.98
Far Cry 5,2020,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95
Battlefield 4,2015,Shooter,Electronic Arts,1.4,1.74,0.19,0.62,3.94
Gran Turismo Sport,2019,Racing,Sony Interactive Entertainment,0.63,2.35,0.24,0.54,3.77
Assassin's Creed Syndicate,2017,Action,Ubisoft,0.9,2.06,0.08,0.55,3.6
NBA 2K17,2018,Sports,2K Sports,2.28,0.59,0.03,0.63,3.52
Mortal Kombat X,2017,Fighting,Warner Bros. Interactive Entertainment,1.94,0.94,0,0.61,3.49
FIFA Soccer 14,2015,Sports,EA Sports,0.62,2.18,0.12,0.51,3.43
The Elder Scrolls V: Skyrim,2018,Role-Playing,Bethesda Softworks,1.24,1.5,0.08,0.54,3.36
Watch Dogs 2,2018,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36
NBA 2K18,2019,Sports,2K Sports,2.13,0.57,0.04,0.59,3.34
Resident Evil VII: Biohazard,2019,Action,Capcom,0.88,1.56,0.41,0.46,3.31
Madden NFL 16,2017,Sports,EA Sports,2.39,0.31,0,0.61,3.3
Madden NFL 17,2018,Sports,EA Sports,2.3,0.37,0,0.6,3.28
Middle-Earth: Shadow of Mordor,2016,Action,Warner Bros. Interactive Entertainment,1.03,1.6,0.05,0.51,3.19
Assassin's Creed IV: Black Flag,2015,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19
Tom Clancy's Ghost Recon Wildlands,2019,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12
Bloodborne,2017,Role-Playing,Sony Computer Entertainment,1.3,1.05,0.28,0.48,3.11
Metal Gear Solid V: The Phantom Pain,2017,Action,Konami Digital Entertainment,0.97,1.15,0.5,0.42,3.04
Killzone: Shadow Fall,2015,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02
inFAMOUS: Second Son,2016,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.5,3.01
Doom (2018),2018,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92
Mafia III,2018,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87
Diablo III,2016,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82
Far Cry: Primal,2018,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73
Need for Speed (2017),2017,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72
Madden NFL 18,2019,Sports,EA Sports,1.73,0.42,0,0.47,2.62
NBA 2K15,2016,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49
Dying Light,2017,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.4,2.45
Dark Souls III,2018,Role-Playing,Namco Bandai Games,1,0.63,0.44,0.34,2.42
Ratchet & Clank (2018),2018,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38
DriveClub,2016,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37
Uncharted: The Lost Legacy,2019,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37
Dragon Age III: Inquisition,2016,Role-Playing,Electronic Arts,1.07,0.8,0.08,0.38,2.34
No Man's Sky,2018,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26
Madden NFL 15,2016,Sports,EA Sports,1.58,0.25,0,0.41,2.25
Need for Speed: Payback,2019,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18
Destiny: The Taken King,2017,Shooter,Activision,0.97,0.8,0.05,0.36,2.18
Need for Speed Rivals,2015,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17
PlayStation VR Worlds,2018,Misc,Sony Interactive Entertainment,0.36,1.4,0.09,0.32,2.16
Battlefield: Hardline,2017,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15
Rise of the Tomb Raider,2018,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07
LittleBigPlanet 3,2016,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06
The Elder Scrolls Online,2017,MMO,Bethesda Softworks,0.74,0.98,0,0.33,2.05
Middle-Earth: Shadow of War,2019,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04
Dragon Quest XI,2019,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04
Rocket League,2018,Sports,505 Games,0.37,1.34,0,0.31,2.02
Just Cause 3,2017,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98
Dishonored 2,2018,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97
Lego Marvel Super Heroes,2015,Action,Warner Bros. Interactive Entertainment,0.59,1,0.01,0.3,1.91
Until Dawn,2017,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9
Knack,2015,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88
The Evil Within,2016,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86
The Crew,2016,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79
Kingdom Hearts 1.5 + 2.5 Remix,2019,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75
For Honor,2019,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75
Titanfall 2,2018,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72
Injustice 2,2019,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0,0.29,1.72
NieR Automata,2019,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71
Tekken 7,2019,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7
Persona 5,2018,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64
The Order: 1886,2017,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62
Wolfenstein: The New Order,2016,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61
Detroit: Become Human,2020,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57
Naruto Shippuden: Ultimate Ninja Storm 4,2018,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54
NBA 2K14,2015,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54
Tomb Raider (2013),2016,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51
Dragon Ball: Xenoverse 2,2018,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5
Rayman Legends,2016,Platform,Ubisoft,0.22,1.05,0,0.23,1.5
Mass Effect: Andromeda,2019,Role-Playing,Electronic Arts,0.58,0.67,0,0.25,1.49
Dragon Ball Fighter Z,2020,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46
South Park: The Fractured But Whole,2019,Role-Playing,Ubisoft,0.62,0.57,0,0.24,1.43
The Sims 4,2019,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39
Street Fighter V,2018,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39
Wolfenstein II: The New Colossus,2019,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36
WWE 2K18,2019,Sports,2K Sports,0.45,0.67,0,0.22,1.33
Lego Star Wars: The Force Awakens,2018,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31
EA Sports UFC 2,2018,Sports,EA Sports,0.44,0.65,0,0.21,1.31
The Last Guardian,2018,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29
WWE 2K16,2017,Sports,Take-Two Interactive,0.43,0.65,0,0.21,1.29
Borderlands: The Handsome Collection,2017,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28
Project CARS,2017,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28
WWE 2K17,2018,Sports,2K Games,0.32,0.7,0,0.19,1.22
Guitar Hero Live,2017,Music,Activision,0.52,0.49,0,0.2,1.21
Metal Gear Solid: Ground Zeroes,2016,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2
Mad Max (2013),2017,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2
Shadow of the Colossus,2020,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2
Kingdom Hearts HD 2.8 Final Chapter Prologue,2019,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2
Dragon Ball: XenoVerse,2017,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
LEGO Dimensions,2017,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0,0.2,1.18
LEGO Jurassic World,2017,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
WWE 2K15,2016,Sports,2K Sports,0.4,0.57,0,0.19,1.16
MLB The Show 17,2019,Sports,Sony Interactive Entertainment,0.94,0,0,0.22,1.16
LEGO Worlds,2019,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
The Elder Scrolls V: Skyrim PSVR,2019,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
LEGO Marvel Super Heroes 2,2019,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0,0.18,1.11
EA Sports UFC,2016,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
Final Fantasy XII: The Zodiac Age,2019,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1
Alien: Isolation,2016,Adventure,Sega,0.29,0.59,0.05,0.16,1.09
MLB The Show 18,2020,Sports,Sony Interactive Entertainment,0.86,0,0,0.2,1.06
The Evil Within II,2019,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
Prey (2019),2019,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
Final Fantasy Type-0,2017,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04
Ni-Oh,2019,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03
MLB 15: The Show,2017,Sports,Sony Computer Entertainment,0.75,0.08,0,0.19,1.01
Steep,2018,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
LEGO Marvel's Avengers,2018,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
Evolve,2017,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
Injustice: Gods Among Us,2015,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0,0.17,0.98
EA Sports UFC 3,2020,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97
Madden NFL 25,2015,Sports,EA Sports,0.64,0.15,0,0.17,0.96
MLB 16: The Show,2018,Sports,Sony Computer Entertainment,0.78,0,0,0.18,0.96
Lego Batman 3: Beyond Gotham,2016,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0,0.16,0.94
Final Fantasy X/X-2 HD Remaster,2017,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9
Ni no Kuni II: Revenant Kingdom,2020,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89
God of War III,2017,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89
Fortnite,2019,Action,Gearbox Software,0.42,0.32,0,0.15,0.89
LEGO Harry Potter Collection,2018,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0,0.13,0.88
Minecraft: Story Mode,2017,Adventure,Mojang,0.31,0.42,0,0.14,0.87
BioShock The Collection,2018,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
Thief 4,2016,Action,Square Enix,0.28,0.41,0.03,0.13,0.85
Until Dawn: Rush of Blood,2018,Shooter,Sony Interactive Entertainment,0.5,0.21,0,0.15,0.85
Disney Infinity 3.0,2017,Action,Disney Interactive Studios,0.31,0.4,0,0.14,0.85
Farming Simulator 17,2018,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
The Crew 2,2020,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
Pro Evolution Soccer 2016,2017,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82
ARK: Survival Evolved,2019,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2017,Action,Square Enix,0.21,0.14,0.39,0.07,0.81
Assassin's Creed The Ezio Collection,2018,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
Final Fantasy XIV: A Realm Reborn,2016,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79
Destiny: The Collection,2018,Shooter,Activision,0.24,0.4,0.02,0.12,0.78
F1 2018 (Codemasters),2018,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
Hitman (2016),2019,Action,Square Enix,0.24,0.36,0.06,0.11,0.78
Pro Evolution Soccer 2015,2016,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76
LEGO City Undercover,2019,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
Pro Evolution Soccer 2018,2019,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
Disney Infinity 2.0: Marvel Super Heroes,2016,Action-Adventure,Disney Interactive Studios,0.37,0.25,0,0.13,0.75
Pro Evolution Soccer 2017,2018,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
Sniper Elite 3,2016,Shooter,505 Games,0.25,0.37,0,0.12,0.74
MLB 14 The Show,2016,Sports,Sony Computer Entertainment,0.59,0,0,0.14,0.73
WipEout Omega Collection,2019,Racing,Sony Interactive Entertainment,0.12,0.49,0,0.11,0.72
Deus Ex: Mankind Divided,2018,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
The LEGO Movie Videogame,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
Marvel vs. Capcom: Infinite,2019,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
Dark Souls II,2017,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
Yakuza 6,2018,Adventure,Sega,0.16,0.1,0.38,0.05,0.69
F1 2017,2017,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
METRO 2033,2016,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
Rocksmith 2016,2016,Music,Ubisoft,0.38,0.17,0,0.12,0.67
NHL 16,2017,Sports,EA Sports,0.38,0.16,0,0.12,0.66
Plants vs Zombies: Garden Warfare,2016,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
Tales of Berseria,2018,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
Yakuza Zero: The Place of Oath,2017,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
One Piece: Burning Blood,2018,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
Batman: Return to Arkham,2018,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
Plants vs. Zombies: Garden Warfare 2,2018,Shooter,Electronic Arts,0.22,0.31,0,0.1,0.63
LEGO The Hobbit,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0,0.1,0.62
World of Final Fantasy,2018,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
F1 2019,2019,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
NHL 15,2016,Sports,EA Sports,0.32,0.19,0,0.11,0.62
Knowledge is Power,2019,Party,Sony Interactive Entertainment,0.05,0.47,0,0.09,0.61
L.A. Noire,2019,Adventure,Rockstar Games,0.18,0.32,0,0.1,0.6
Hidden Agenda,2019,Adventure,Sony Interactive Entertainment,0.08,0.42,0,0.09,0.59
Call of Duty: Modern Warfare Remastered,2019,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
Dragon Quest Builders: Revive Alefgard,2018,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
The Lego Ninjago Movie Videogame,2019,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0,0.09,0.57
Resident Evil: Revelations 2,2017,Action,Capcom,0.14,0.25,0.11,0.07,0.57
Rock Band 4,2017,Music,Harmonix Music Systems,0.41,0.06,0,0.1,0.57
NHL 18,2019,Sports,EA Sports,0.31,0.16,0,0.1,0.57
Everybody's Golf,2019,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
The Amazing Spider-Man 2 (2016),2016,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
DOOM VFR,2019,Shooter,Bethesda Softworks,0.22,0.25,0,0.09,0.56
Sonic Forces,2019,Platform,Sega,0.15,0.31,0.01,0.09,0.56
Kingdom Come: Deliverance,2020,Role-Playing,Deep Silver,0.18,0.28,0,0.09,0.56
Lords of the Fallen,2016,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
Sniper Elite 4,2019,Shooter,Rebellion Developments,0.21,0.25,0,0.09,0.55
Rory McIlroy PGA Tour,2017,Sports,Electronic Arts,0.19,0.27,0,0.09,0.55
Project CARS 2,2019,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
Skylanders: Trap Team,2016,Platform,Activision,0.25,0.18,0,0.09,0.52
NHL 17,2018,Sports,EA Sports,0.32,0.11,0,0.09,0.52
One Piece: Pirate Warriors 3,2017,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
DiRT Rally,2018,Racing,Codemasters,0.13,0.3,0,0.08,0.51
Homefront: The Revolution,2018,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
Attack on Titan (KOEI),2018,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
DiRT 4,2019,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
Farpoint,2019,Shooter,Sony Interactive Entertainment,0,0.38,0.04,0.06,0.48
Battleborn,2018,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
A Way Out,2020,Action,Electronic Arts,0.23,0.16,0,0.08,0.48
Friday the 13th: The Game,2019,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
The Walking Dead: A Telltale Games Series,2016,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
Wolfenstein: The Old Blood,2017,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
Deadpool,2017,Action,Activision,0.26,0.13,0,0.08,0.47
